Model_Original,Brand,Year_Extracted,Screen_Size_Extracted,Weight_kg,Energy_kWh_Year,Repair_Score,Eco_Score_Target
E2422HN Monitor,Dell,2021.0,14.0,3.49,9.833333333333334,6.0,41.81
E2422HS Monitor,Dell,2021.0,14.0,4.3,9.833333333333334,6.0,40.53
E2423H Monitor,Dell,2021.0,14.0,3.5,9.833333333333334,6.0,40.05
E2423HN Monitor,Dell,2021.0,14.0,3.5,9.833333333333334,6.0,40.05
E2720H Monitor,Dell,2021.0,14.0,5.55,9.833333333333334,6.0,40.29
E2720HS Monitor,Dell,2021.0,14.0,5.78,9.833333333333334,6.0,40.05
E2722H Monitor,Dell,2021.0,14.0,4.55,9.833333333333334,6.0,43.650000000000006
E2722HS Monitor,Dell,2021.0,14.0,5.24,9.833333333333334,6.0,43.09
E2723H Monitor,Dell,2021.0,14.0,4.86,9.833333333333334,6.0,41.97
E2723HN Monitor,Dell,2021.0,14.0,4.86,9.833333333333334,6.0,40.05
Inspiron 13 5320,Dell,2021.0,14.0,1.249,9.833333333333334,6.0,53.97
Inspiron 14 5420,Dell,2021.0,14.0,1.55,9.833333333333334,6.0,52.53
Inspiron 14 5425,Dell,2021.0,14.0,1.55,9.833333333333334,6.0,52.45
Inspiron 14 7420 2-in-1,Dell,2021.0,14.0,1.735,9.833333333333334,6.0,50.769999999999996
Inspiron 14 7425 2-in-1,Dell,2021.0,14.0,1.735,9.833333333333334,6.0,51.650000000000006
Inspiron 14 Plus 7420,Dell,2021.0,14.0,1.75,9.833333333333334,6.0,49.97
Inspiron 16 5620,Dell,2021.0,14.0,1.97,9.833333333333334,6.0,49.17
Inspiron 16 5625,Dell,2021.0,14.0,1.97,9.833333333333334,6.0,49.57
Inspiron 16 7620 2-in-1,Dell,2021.0,14.0,2.194,9.833333333333334,6.0,47.81
Inspiron 16 Plus 7620,Dell,2021.0,14.0,1.98,9.833333333333334,6.0,46.45
Latitude 3120 2-in-1,Dell,2021.0,14.0,1.48,9.833333333333334,6.0,60.45
Latitude 3120,Dell,2021.0,14.0,1.38,9.833333333333334,6.0,61.57
Latitude 3150,Dell,2021.0,14.0,1.45,9.833333333333334,6.0,62.769999999999996
Latitude 3160,Dell,2021.0,14.0,1.45,9.833333333333334,6.0,60.53
Latitude 3180,Dell,2021.0,14.0,1.35,9.833333333333334,6.0,60.61
Latitude 3189,Dell,2021.0,14.0,1.65,9.833333333333334,6.0,59.49
Latitude 3190 2-In-1,Dell,2021.0,14.0,1.65,9.833333333333334,6.0,61.650000000000006
Latitude 3190,Dell,2021.0,14.0,1.65,9.833333333333334,6.0,61.97
Latitude 3300,Dell,2021.0,14.0,1.56,9.833333333333334,6.0,56.61
Latitude 3320,Dell,2021.0,14.0,1.23,9.833333333333334,6.0,57.57
Latitude 3330 2-in-1,Dell,2021.0,14.0,1.37,9.833333333333334,6.0,55.17
Latitude 3330,Dell,2021.0,14.0,1.28,9.833333333333334,6.0,55.010000000000005
Latitude 3350,Dell,2021.0,14.0,1.67,9.833333333333334,6.0,59.41
Latitude 3380,Dell,2021.0,14.0,1.63,9.833333333333334,6.0,59.89
Latitude 3390 2-in-1,Dell,2021.0,14.0,1.69,9.833333333333334,6.0,57.33
Latitude 3400,Dell,2021.0,14.0,1.75,9.833333333333334,6.0,57.730000000000004
Latitude 3410,Dell,2021.0,14.0,1.65,9.833333333333334,6.0,54.29
Latitude 3420,Dell,2021.0,14.0,1.526,9.833333333333334,6.0,54.85
Latitude 3460,Dell,2021.0,14.0,1.97,9.833333333333334,6.0,57.730000000000004
Latitude 3470,Dell,2021.0,14.0,1.97,9.833333333333334,6.0,57.17
Latitude 3480,Dell,2021.0,14.0,2.3,9.833333333333334,6.0,54.13
Latitude 3490,Dell,2021.0,14.0,1.78,9.833333333333334,6.0,60.61
Latitude 3500,Dell,2021.0,14.0,2.16,9.833333333333334,6.0,57.81
Latitude 3510,Dell,2021.0,14.0,1.945,9.833333333333334,6.0,52.85
Latitude 3520,Dell,2021.0,14.0,1.959,9.833333333333334,6.0,54.61
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3550,Dell,2021.0,14.0,2.22,9.833333333333334,6.0,59.010000000000005
Latitude 3560,Dell,2021.0,14.0,2.16,9.833333333333334,6.0,56.21
Latitude 3570,Dell,2021.0,14.0,2.16,9.833333333333334,6.0,55.89
Latitude 3580,Dell,2021.0,14.0,2.46,9.833333333333334,6.0,55.17
Latitude 3590,Dell,2021.0,14.0,2.07,9.833333333333334,6.0,59.730000000000004
Latitude 5250,Dell,2021.0,14.0,1.743,9.833333333333334,6.0,61.25
Latitude 5280,Dell,2021.0,14.0,1.64,9.833333333333334,6.0,62.05
