Device_Name,Energy_Consumption_kWh,Recycled_Percentage,RoHS_Compliant,Screen_Size_Inch,Weight_Kg,RAM_GB,Storage_GB,CPU_Score,Eco_Score
A15-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A15-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A15-51MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A15-51MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A15-51P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A15-51P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A16-11M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-11M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-11MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-11MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-52MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-52MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-61M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-61M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-61MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-61MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A16-71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A17-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A517-58M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress 7120,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress 7120,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress 7136,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress 7136,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress 7136P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress 7136P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress C12000,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPress C12000,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress C14000,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPress C14000,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress C4070,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPress C4070,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
